county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Riverside,4/16/2020,422,303,15,15,
Sacramento,4/16/2020,316,63,63,63,
San Benito,4/16/2020,,,,,
San Bernardino,4/16/2020,50,37,20,,20
San Diego,4/16/2020,2029,409,45,45,
San Francisco,4/16/2020,1271,748,,,
San Joaquin,4/16/2020,,,,,
San Luis Obispo,4/16/2020,154,,14,14,
San Mateo,4/16/2020,94,94,,,
Santa Barbara,4/16/2020,76,,,,
Santa Clara,4/16/2020,453,170,105,105,
Santa Cruz,4/16/2020,27,19,35,,
Shasta,4/16/2020,20,,,,
Sierra,4/16/2020,,,,,
Siskiyou,4/16/2020,,,,,
Solano,4/16/2020,,,,,
Sonoma,4/16/2020,45,45,,,
Stanislaus,4/16/2020,121,,,,
Sutter,4/16/2020,16,16,,,
Tehama,4/16/2020,,,,,
Trinity,4/16/2020,,,,,
Tulare,4/16/2020,23,,,,
Tuolumne,4/16/2020,,,,,
Ventura,4/16/2020,398,275,,,
Yolo,4/16/2020,246,206,,,
Yuba,4/16/2020,30,18,,,
Alameda,4/17/2020,403,299,91,85,
Alpine,4/17/2020,,,,,
Amador,4/17/2020,,,,,
Butte,4/17/2020,71,94,,,
Calaveras,4/17/2020,20,20,,,
Colusa,4/17/2020,,,,,
Contra Costa,4/17/2020,340,,,,
Del Norte,4/17/2020,,,,,
El Dorado,4/17/2020,,,,,
Fresno,4/17/2020,305,250,28,28,
Glenn,4/17/2020,,,,,
Humboldt,4/17/2020,44,11,15,,
Imperial,4/17/2020,36,,,,
Inyo,4/17/2020,,,,,
Kern,4/17/2020,,,15,15,
Kings,4/17/2020,,,,,
Lake,4/17/2020,,,,,
Lassen,4/17/2020,,,,,
Los Angeles,4/17/2020,3085,765,658,654,
Madera,4/17/2020,,,,,
Marin,4/17/2020,112,72,44,,
Mariposa,4/17/2020,44,,,,
Mendocino,4/17/2020,128,82,,,
Merced,4/17/2020,,,,,
Mono,4/17/2020,48,,,,
Modoc,4/17/2020,,,,,
Monterey,4/17/2020,,,108,,
Napa,4/17/2020,104,47,18,,
Nevada,4/17/2020,27,,,,
Orange,4/17/2020,276,31,78,76,
Placer,4/17/2020,15,15,,,
Plumas,4/17/2020,,,,,
Riverside,4/17/2020,422,303,15,15,
Sacramento,4/17/2020,316,63,63,63,
San Benito,4/17/2020,67,32,,,
San Bernardino,4/17/2020,50,37,20,,20
San Diego,4/17/2020,2029,409,45,45,
San Francisco,4/17/2020,1271,748,,,
San Joaquin,4/17/2020,,,,,
San Luis Obispo,4/17/2020,154,,14,14,
San Mateo,4/17/2020,94,94,,,
Santa Barbara,4/17/2020,76,,,,
Santa Clara,4/17/2020,453,234,105,105,
Santa Cruz,4/17/2020,27,19,35,,
Shasta,4/17/2020,20,,,,
Sierra,4/17/2020,,,,,
Siskiyou,4/17/2020,,,,,
Solano,4/17/2020,,,,,
Sonoma,4/17/2020,45,45,,,
Stanislaus,4/17/2020,121,,,,
Sutter,4/17/2020,16,16,,,
Tehama,4/17/2020,,,,,
Trinity,4/17/2020,,,,,
Tulare,4/17/2020,23,,,,
Tuolumne,4/17/2020,,,,,
Ventura,4/17/2020,398,275,,,
Yolo,4/17/2020,246,206,,,
Yuba,4/17/2020,35,18,,,
Alameda,4/18/2020,403,313,91,85,
Alpine,4/18/2020,,,,,
Amador,4/18/2020,,,,,
Butte,4/18/2020,94,94,,,
Calaveras,4/18/2020,20,20,,,
Colusa,4/18/2020,,,,,
Contra Costa,4/18/2020,340,,,,
Del Norte,4/18/2020,,,,,
El Dorado,4/18/2020,,,,,
Fresno,4/18/2020,305,250,28,28,
Glenn,4/18/2020,,,,,
Humboldt,4/18/2020,44,11,15,,
Imperial,4/18/2020,36,,,,
Inyo,4/18/2020,,,,,
Kern,4/18/2020,,,15,15,
Kings,4/18/2020,,,,,
Lake,4/18/2020,,,,,
Lassen,4/18/2020,,,,,
Los Angeles,4/18/2020,3085,830,658,654,
Madera,4/18/2020,,,,,
Marin,4/18/2020,112,72,44,,
Mariposa,4/18/2020,44,,,,
