county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Siskiyou County,5/12/2020,,,,,
Solano County,5/12/2020,238,19,,,
Sonoma County,5/12/2020,157,71,,,
Stanislaus County,5/12/2020,121,85,,,
Sutter County,5/12/2020,19,19,,,
Tehama County,5/12/2020,,,,,
Trinity County,5/12/2020,,,,,
Tulare County,5/12/2020,56,18,,,
Tuolumne County,5/12/2020,50,,,,
Ventura County,5/12/2020,388,314,,,
Yolo County,5/12/2020,246,226,,,
Yuba County,5/12/2020,29,22,,,
Wilton Rancheria Tribe,5/12/2020,,,,,
Bishop Paiute Tribal Council,5/12/2020,,,,,
Alameda County,5/13/2020,533,350,91,91,
Alpine County,5/13/2020,,,,,
Amador County,5/13/2020,,,,,
Butte County,5/13/2020,116,116,,,
Calaveras County,5/13/2020,73,25,,,
Colusa County,5/13/2020,,,,,
Contra Costa County,5/13/2020,575,272,,,
Del Norte County,5/13/2020,19,,,,
El Dorado County,5/13/2020,26,17,,,
Fresno County,5/13/2020,305,250,28,28,
Glenn County,5/13/2020,,,,,
Humboldt County,5/13/2020,64,40,15,,
Imperial County,5/13/2020,132,132,37,,
Inyo County,5/13/2020,,,,,
Kern County,5/13/2020,,,15,15,
Kings County,5/13/2020,41,11,,,
Lake County,5/13/2020,15,,,,
Lassen County,5/13/2020,,,,,
Los Angeles County,5/13/2020,3822,1995,651,651,
Madera County ,5/13/2020,21,21,,,
Marin County ,5/13/2020,191,106,44,,
Mariposa County,5/13/2020,44,17,,,
Mendocino County,5/13/2020,186,146,,,
Merced County,5/13/2020,112,74,,,
Modoc County,5/13/2020,,,,,
Mono County,5/13/2020,,,,,
Monterey County,5/13/2020,142,24,108,15,
Napa County ,5/13/2020,97,53,18,12,
Nevada County ,5/13/2020,70,,,,
Orange County,5/13/2020,666,221,78,78,
Placer County,5/13/2020,73,34,12,12,
Plumas County,5/13/2020,,,,,
Riverside County,5/13/2020,280,280,15,15,
Sacramento County,5/13/2020,420,275,63,63,
San Benito County,5/13/2020,67,56,,,
San Bernardino County,5/13/2020,50,37,20,,20
San Diego County,5/13/2020,2029,409,44,44,
San Francisco,5/13/2020,2508,990,91,91,
San Joaquin County,5/13/2020,76,35,,,
San Luis Obispo County,5/13/2020,155,,14,14,
San Mateo County,5/13/2020,156,156,,,
Santa Barbara County,5/13/2020,115,109,,,
Santa Clara County,5/13/2020,709,363,105,105,
Santa Cruz County,5/13/2020,63,48,35,,
Shasta County,5/13/2020,29,20,,,
Sierra County,5/13/2020,,,,,
Siskiyou County,5/13/2020,,,,,
Solano County,5/13/2020,238,20,,,
Sonoma County,5/13/2020,157,52,,,
Stanislaus County,5/13/2020,121,90,,,
Sutter County,5/13/2020,19,19,,,
Tehama County,5/13/2020,,,,,
Trinity County,5/13/2020,,,,,
Tulare County,5/13/2020,56,19,,,
Tuolumne County,5/13/2020,50,,,,
Ventura County,5/13/2020,388,317,,,
Yolo County,5/13/2020,246,230,,,
Yuba County,5/13/2020,29,22,,,
Wilton Rancheria Tribe,5/13/2020,,,,,
Bishop Paiute Tribal Council,5/13/2020,,,,,
Alameda County,5/14/2020,533,350,91,91,
Alpine County,5/14/2020,,,,,
Amador County,5/14/2020,,,,,
Butte County,5/14/2020,116,116,,,
Calaveras County,5/14/2020,73,25,,,
Colusa County,5/14/2020,,,,,
Contra Costa County,5/14/2020,575,279,,,
Del Norte County,5/14/2020,19,,,,
El Dorado County,5/14/2020,26,18,,,
Fresno County,5/14/2020,305,250,28,28,
Glenn County,5/14/2020,,,,,
Humboldt County,5/14/2020,64,40,15,,
Imperial County,5/14/2020,132,132,37,,
Inyo County,5/14/2020,,,,,
Kern County,5/14/2020,,,15,15,
Kings County,5/14/2020,41,19,,,
Lake County,5/14/2020,15,,,,
Lassen County,5/14/2020,,,,,
Los Angeles County,5/14/2020,3862,2051,651,651,
Madera County ,5/14/2020,21,21,,,
Marin County ,5/14/2020,191,109,44,,
Mariposa County,5/14/2020,44,16,,,
Mendocino County,5/14/2020,185,145,,,
Merced County,5/14/2020,112,74,,,
Modoc County,5/14/2020,,,,,
Mono County,5/14/2020,,,,,
Monterey County,5/14/2020,142,32,108,15,
Napa County ,5/14/2020,97,53,18,12,
Nevada County ,5/14/2020,70,,,,
Orange County,5/14/2020,666,246,78,78,
Placer County,5/14/2020,73,34,12,12,
Plumas County,5/14/2020,,,,,
Riverside County,5/14/2020,286,286,15,15,
Sacramento County,5/14/2020,420,275,63,63,
San Benito County,5/14/2020,67,55,,,
San Bernardino County,5/14/2020,50,37,20,,20
San Diego County,5/14/2020,2029,409,44,44,
San Francisco,5/14/2020,2508,995,91,91,
San Joaquin County,5/14/2020,76,35,,,
San Luis Obispo County,5/14/2020,155,,14,14,
San Mateo County,5/14/2020,158,158,,,
Santa Barbara County,5/14/2020,116,111,,,
Santa Clara County,5/14/2020,709,368,105,105,
Santa Cruz County,5/14/2020,118,59,35,,
Shasta County,5/14/2020,29,20,,,
Sierra County,5/14/2020,,,,,
Siskiyou County,5/14/2020,,,,,
Solano County,5/14/2020,238,21,,,
Sonoma County,5/14/2020,157,52,,,
Stanislaus County,5/14/2020,121,90,,,
Sutter County,5/14/2020,19,19,,,
Tehama County,5/14/2020,,,,,
Trinity County,5/14/2020,,,,,
Tulare County,5/14/2020,56,21,,,
Tuolumne County,5/14/2020,50,,,,
Ventura County,5/14/2020,388,320,,,
Yolo County,5/14/2020,246,231,,,
Yuba County,5/14/2020,32,22,,,
Wilton Rancheria Tribe,5/14/2020,,,,,
Bishop Paiute Tribal Council,5/14/2020,,,,,
Alameda County,5/15/2020,533,348,91,91,
Alpine County,5/15/2020,,,,,
Amador County,5/15/2020,,,,,
Butte County,5/15/2020,115,115,,,
Calaveras County,5/15/2020,73,25,,,
Colusa County,5/15/2020,,,,,
Contra Costa County,5/15/2020,574,310,,,
Del Norte County,5/15/2020,20,,,,
El Dorado County,5/15/2020,26,15,,,
Fresno County,5/15/2020,305,250,28,28,
Glenn County,5/15/2020,,,,,
Humboldt County,5/15/2020,64,40,15,,
Imperial County,5/15/2020,132,132,37,,
Inyo County,5/15/2020,,,,,
Kern County,5/15/2020,,,15,15,
Kings County,5/15/2020,41,32,,,
Lake County,5/15/2020,15,,,,
Lassen County,5/15/2020,,,,,
Los Angeles County,5/15/2020,3964,2170,651,651,
Madera County ,5/15/2020,24,21,,,
Marin County ,5/15/2020,191,112,44,,
Mariposa County,5/15/2020,44,16,,,
Mendocino County,5/15/2020,185,145,,,
Merced County,5/15/2020,112,74,,,
Modoc County,5/15/2020,,,,,
Mono County,5/15/2020,,,,,
Monterey County,5/15/2020,142,32,108,15,
Napa County ,5/15/2020,97,53,18,12,
Nevada County ,5/15/2020,70,,,,
Orange County,5/15/2020,666,246,78,78,
Placer County,5/15/2020,73,34,12,12,
Plumas County,5/15/2020,,,,,
Riverside County,5/15/2020,286,286,15,15,
Sacramento County,5/15/2020,420,275,63,63,
San Benito County,5/15/2020,67,42,,,
San Bernardino County,5/15/2020,50,37,20,,20
San Diego County,5/15/2020,2029,409,44,44,
San Francisco,5/15/2020,2508,988,91,91,
San Joaquin County,5/15/2020,76,38,,,
San Luis Obispo County,5/15/2020,155,,14,14,
San Mateo County,5/15/2020,158,158,,,
Santa Barbara County,5/15/2020,116,114,,,
Santa Clara County,5/15/2020,689,366,105,105,
Santa Cruz County,5/15/2020,118,64,35,,
Shasta County,5/15/2020,29,20,,,
Sierra County,5/15/2020,,,,,
Siskiyou County,5/15/2020,,,,,
Solano County,5/15/2020,238,25,,,
Sonoma County,5/15/2020,157,52,,,
Stanislaus County,5/15/2020,121,90,,,
Sutter County,5/15/2020,19,19,,,
Tehama County,5/15/2020,,,,,
Trinity County,5/15/2020,,,,,
Tulare County,5/15/2020,113,24,,,
Tuolumne County,5/15/2020,50,,,,
Ventura County,5/15/2020,388,319,,,
Yolo County,5/15/2020,246,231,,,
Yuba County,5/15/2020,25,21,,,
Wilton Rancheria Tribe,5/15/2020,,,,,
Bishop Paiute Tribal Council,5/15/2020,,,,,
Alameda County,5/16/2020,533,348,91,91,
Alpine County,5/16/2020,,,,,
Amador County,5/16/2020,,,,,
Butte County,5/16/2020,115,115,,,
Calaveras County,5/16/2020,73,25,,,
Colusa County,5/16/2020,,,,,
Contra Costa County,5/16/2020,574,310,,,
Del Norte County,5/16/2020,20,,,,
El Dorado County,5/16/2020,26,15,,,
Fresno County,5/16/2020,305,250,28,28,
Glenn County,5/16/2020,,,,,
Humboldt County,5/16/2020,74,50,15,,
Imperial County,5/16/2020,132,132,37,,
Inyo County,5/16/2020,,,,,
Kern County,5/16/2020,,,15,15,
Kings County,5/16/2020,41,36,,,
Lake County,5/16/2020,15,,,,
Lassen County,5/16/2020,,,,,
Los Angeles County,5/16/2020,3964,2170,651,651,
Madera County ,5/16/2020,24,21,,,
Marin County ,5/16/2020,191,112,44,,
Mariposa County,5/16/2020,44,16,,,
Mendocino County,5/16/2020,185,145,,,
Merced County,5/16/2020,112,74,,,
Modoc County,5/16/2020,,,,,
Mono County,5/16/2020,,,,,
Monterey County,5/16/2020,142,32,108,15,
Napa County ,5/16/2020,97,53,18,12,
Nevada County ,5/16/2020,70,,,,
Orange County,5/16/2020,666,246,78,78,
Placer County,5/16/2020,73,34,12,12,
Plumas County,5/16/2020,,,,,
Riverside County,5/16/2020,299,299,15,15,
Sacramento County,5/16/2020,420,275,63,63,
San Benito County,5/16/2020,67,42,,,
San Bernardino County,5/16/2020,50,37,20,,20
San Diego County,5/16/2020,2029,409,44,44,
San Francisco,5/16/2020,2508,978,91,91,
San Joaquin County,5/16/2020,76,38,,,
San Luis Obispo County,5/16/2020,155,,14,14,
San Mateo County,5/16/2020,158,158,,,
Santa Barbara County,5/16/2020,116,114,,,
Santa Clara County,5/16/2020,689,364,105,105,
Santa Cruz County,5/16/2020,118,64,35,,
Shasta County,5/16/2020,29,20,,,
Sierra County,5/16/2020,,,,,
Siskiyou County,5/16/2020,,,,,
Solano County,5/16/2020,238,25,,,
Sonoma County,5/16/2020,157,52,,,
Stanislaus County,5/16/2020,121,89,,,
Sutter County,5/16/2020,19,19,,,
Tehama County,5/16/2020,,,,,
Trinity County,5/16/2020,,,,,
Tulare County,5/16/2020,113,24,,,
Tuolumne County,5/16/2020,50,,,,
Ventura County,5/16/2020,388,319,,,
Yolo County,5/16/2020,246,231,,,
Yuba County,5/16/2020,28,20,,,
Wilton Rancheria Tribe,5/16/2020,,,,,
Bishop Paiute Tribal Council,5/16/2020,,,,,
Alameda County,5/17/2020,533,352,91,91,
Alpine County,5/17/2020,,,,,
Amador County,5/17/2020,,,,,
Butte County,5/17/2020,115,115,,,
Calaveras County,5/17/2020,73,25,,,
Colusa County,5/17/2020,,,,,
Contra Costa County,5/17/2020,574,291,,,
Del Norte County,5/17/2020,20,,,,
El Dorado County,5/17/2020,26,15,,,
Fresno County,5/17/2020,305,250,28,28,
Glenn County,5/17/2020,,,,,
Humboldt County,5/17/2020,74,50,15,,
Imperial County,5/17/2020,132,132,37,,
Inyo County,5/17/2020,,,,,
Kern County,5/17/2020,,,15,15,
Kings County,5/17/2020,41,37,,,
Lake County,5/17/2020,15,,,,
Lassen County,5/17/2020,,,,,
Los Angeles County,5/17/2020,3964,2281,651,651,
Madera County ,5/17/2020,24,21,,,
Marin County ,5/17/2020,191,112,44,,
Mariposa County,5/17/2020,44,16,,,
Mendocino County,5/17/2020,185,145,,,
Merced County,5/17/2020,112,74,,,
Modoc County,5/17/2020,,,,,
Mono County,5/17/2020,,,,,
Monterey County,5/17/2020,142,28,108,15,
Napa County ,5/17/2020,97,53,18,12,
Nevada County ,5/17/2020,70,,,,
Orange County,5/17/2020,666,246,78,78,
Placer County,5/17/2020,73,34,12,12,
Plumas County,5/17/2020,,,,,
Riverside County,5/17/2020,299,299,15,15,
Sacramento County,5/17/2020,420,275,63,63,
San Benito County,5/17/2020,67,40,,,
San Bernardino County,5/17/2020,50,37,20,,20
San Diego County,5/17/2020,2029,409,44,44,
San Francisco,5/17/2020,2508,995,91,91,
San Joaquin County,5/17/2020,76,38,,,
San Luis Obispo County,5/17/2020,155,,14,14,
San Mateo County,5/17/2020,158,158,,,
Santa Barbara County,5/17/2020,139,112,,,
Santa Clara County,5/17/2020,689,360,105,105,
Santa Cruz County,5/17/2020,118,69,35,,
Shasta County,5/17/2020,29,20,,,
Sierra County,5/17/2020,,,,,
Siskiyou County,5/17/2020,,,,,
Solano County,5/17/2020,238,25,,,
Sonoma County,5/17/2020,157,52,,,
Stanislaus County,5/17/2020,121,89,,,
Sutter County,5/17/2020,19,19,,,
Tehama County,5/17/2020,,,,,
Trinity County,5/17/2020,,,,,
Tulare County,5/17/2020,113,24,,,
Tuolumne County,5/17/2020,50,,,,
Ventura County,5/17/2020,388,319,,,
Yolo County,5/17/2020,246,231,,,
Yuba County,5/17/2020,28,20,,,
Wilton Rancheria Tribe,5/17/2020,,,,,
Bishop Paiute Tribal Council,5/17/2020,,,,,
Alameda County,5/18/2020,533,352,91,91,
Alpine County,5/18/2020,,,,,
Amador County,5/18/2020,,,,,
Butte County,5/18/2020,117,117,,,
Calaveras County,5/18/2020,73,25,,,
Colusa County,5/18/2020,,,,,
Contra Costa County,5/18/2020,574,288,,,
Del Norte County,5/18/2020,20,,,,
El Dorado County,5/18/2020,26,15,,,
Fresno County,5/18/2020,305,250,28,28,
Glenn County,5/18/2020,,,,,
Humboldt County,5/18/2020,74,51,15,,
Imperial County,5/18/2020,132,132,37,,
Inyo County,5/18/2020,,,,,
Kern County,5/18/2020,,,15,15,
Kings County,5/18/2020,41,38,,,
Lake County,5/18/2020,15,,,,
Lassen County,5/18/2020,,,,,
Los Angeles County,5/18/2020,3964,2314,651,651,
Madera County ,5/18/2020,24,21,,,
Marin County ,5/18/2020,191,110,44,,
Mariposa County,5/18/2020,44,15,,,
Mendocino County,5/18/2020,185,145,,,
Merced County,5/18/2020,112,74,,,
Modoc County,5/18/2020,,,,,
Mono County,5/18/2020,,,,,
Monterey County,5/18/2020,142,28,108,15,
Napa County ,5/18/2020,97,53,18,12,
Nevada County ,5/18/2020,70,,,,
Orange County,5/18/2020,666,290,78,78,
Placer County,5/18/2020,73,34,12,12,
Plumas County,5/18/2020,,,,,
Riverside County,5/18/2020,302,302,15,15,
Sacramento County,5/18/2020,423,322,63,63,
San Benito County,5/18/2020,67,49,,,
San Bernardino County,5/18/2020,50,37,20,,20
San Diego County,5/18/2020,2029,409,44,44,
San Francisco,5/18/2020,2678,982,91,91,
San Joaquin County,5/18/2020,76,38,,,
San Luis Obispo County,5/18/2020,155,,14,14,
San Mateo County,5/18/2020,160,160,,,
Santa Barbara County,5/18/2020,136,110,,,
Santa Clara County,5/18/2020,689,380,105,105,
Santa Cruz County,5/18/2020,118,69,35,,
Shasta County,5/18/2020,29,20,,,
Sierra County,5/18/2020,,,,,
Siskiyou County,5/18/2020,,,,,
Solano County,5/18/2020,238,25,,,
Sonoma County,5/18/2020,157,52,,,
Stanislaus County,5/18/2020,121,85,,,
Sutter County,5/18/2020,19,19,,,
Tehama County,5/18/2020,,,,,
Trinity County,5/18/2020,,,,,
Tulare County,5/18/2020,113,24,,,
Tuolumne County,5/18/2020,50,,,,
Ventura County,5/18/2020,388,317,,,
Yolo County,5/18/2020,246,232,,,
Yuba County,5/18/2020,28,20,,,
Wilton Rancheria Tribe,5/18/2020,,,,,
Bishop Paiute Tribal Council,5/18/2020,,,,,
Alameda County,5/19/2020,533,357,91,91,
Alpine County,5/19/2020,,,,,
Amador County,5/19/2020,,,,,
Butte County,5/19/2020,117,117,,,
Calaveras County,5/19/2020,73,25,,,
Colusa County,5/19/2020,,,,,
Contra Costa County,5/19/2020,574,324,,,
Del Norte County,5/19/2020,20,,,,
El Dorado County,5/19/2020,26,15,,,
Fresno County,5/19/2020,305,250,28,28,
Glenn County,5/19/2020,,,,,
Humboldt County,5/19/2020,74,51,15,,
Imperial County,5/19/2020,132,132,37,,
Inyo County,5/19/2020,,,,,
Kern County,5/19/2020,,,15,15,
Kings County,5/19/2020,41,39,,,
Lake County,5/19/2020,15,,,,
Lassen County,5/19/2020,,,,,
Los Angeles County,5/19/2020,4056,2359,651,651,
Madera County ,5/19/2020,24,21,,,
Marin County ,5/19/2020,191,111,44,,
Mariposa County,5/19/2020,44,15,,,
Mendocino County,5/19/2020,185,145,,,
Merced County,5/19/2020,112,74,,,
Modoc County,5/19/2020,,,,,
Mono County,5/19/2020,,,,,
Monterey County,5/19/2020,142,28,108,15,
Napa County ,5/19/2020,97,53,18,12,
Nevada County ,5/19/2020,70,,,,
Orange County,5/19/2020,666,299,78,78,
Placer County,5/19/2020,73,37,12,12,
Plumas County,5/19/2020,,,,,
Riverside County,5/19/2020,307,307,15,15,
Sacramento County,5/19/2020,423,329,63,63,
San Benito County,5/19/2020,67,52,,,
San Bernardino County,5/19/2020,50,37,20,,20
San Diego County,5/19/2020,2029,197,44,44,
San Francisco,5/19/2020,2678,988,91,91,
San Joaquin County,5/19/2020,76,42,,,
San Luis Obispo County,5/19/2020,155,,14,14,
San Mateo County,5/19/2020,161,161,,,
Santa Barbara County,5/19/2020,142,118,,,
Santa Clara County,5/19/2020,689,416,105,105,
Santa Cruz County,5/19/2020,118,70,35,,
Shasta County,5/19/2020,29,20,,,
Sierra County,5/19/2020,,,,,
Siskiyou County,5/19/2020,,,,,
Solano County,5/19/2020,238,25,,,
Sonoma County,5/19/2020,157,52,,,
Stanislaus County,5/19/2020,121,85,,,
Sutter County,5/19/2020,19,19,,,
Tehama County,5/19/2020,,,,,
Trinity County,5/19/2020,,,,,
Tulare County,5/19/2020,113,29,,,
Tuolumne County,5/19/2020,50,,,,
Ventura County,5/19/2020,388,319,,,
Yolo County,5/19/2020,246,232,,,
Yuba County,5/19/2020,37,20,,,
Wilton Rancheria Tribe,5/19/2020,,,,,
Bishop Paiute Tribal Council,5/19/2020,,,,,
Alameda County,5/20/2020,533,357,91,91,
Alpine County,5/20/2020,,,,,
Amador County,5/20/2020,,,,,
Butte County,5/20/2020,118,118,,,
Calaveras County,5/20/2020,73,23,,,
Colusa County,5/20/2020,,,,,
Contra Costa County,5/20/2020,574,335,,,
Del Norte County,5/20/2020,20,,,,
El Dorado County,5/20/2020,26,15,,,
Fresno County,5/20/2020,305,250,28,28,
Glenn County,5/20/2020,,,,,
Humboldt County,5/20/2020,74,51,15,,
Imperial County,5/20/2020,132,132,37,,
Inyo County,5/20/2020,,,,,
Kern County,5/20/2020,,,15,15,
Kings County,5/20/2020,41,39,,,
Lake County,5/20/2020,15,,,,
Lassen County,5/20/2020,,,,,
Los Angeles County,5/20/2020,4233,2352,651,651,
Madera County ,5/20/2020,24,21,,,
Marin County ,5/20/2020,191,112,44,,
Mariposa County,5/20/2020,44,16,,,
Mendocino County,5/20/2020,187,148,,,
Merced County,5/20/2020,112,74,,,
Modoc County,5/20/2020,,,,,
Mono County,5/20/2020,,,,,
Monterey County,5/20/2020,142,28,108,15,
Napa County ,5/20/2020,97,53,18,12,
Nevada County ,5/20/2020,70,,,,
Orange County,5/20/2020,666,315,78,78,
Placer County,5/20/2020,73,40,12,12,
Plumas County,5/20/2020,,,,,
Riverside County,5/20/2020,316,316,15,15,
Sacramento County,5/20/2020,423,338,63,63,
San Benito County,5/20/2020,67,56,,,
San Bernardino County,5/20/2020,50,37,20,,20
San Diego County,5/20/2020,1674,295,44,44,
San Francisco,5/20/2020,2678,999,91,91,
San Joaquin County,5/20/2020,76,42,,,
San Luis Obispo County,5/20/2020,155,,14,14,
San Mateo County,5/20/2020,162,162,,,
Santa Barbara County,5/20/2020,143,119,,,
Santa Clara County,5/20/2020,689,433,105,105,
Santa Cruz County,5/20/2020,118,71,35,,
Shasta County,5/20/2020,29,20,,,
Sierra County,5/20/2020,,,,,
Siskiyou County,5/20/2020,,,,,
Solano County,5/20/2020,238,29,,,
Sonoma County,5/20/2020,157,52,,,
Stanislaus County,5/20/2020,121,90,,,
Sutter County,5/20/2020,19,19,,,
Tehama County,5/20/2020,,,,,
Trinity County,5/20/2020,,,,,
Tulare County,5/20/2020,113,29,,,
Tuolumne County,5/20/2020,50,,,,
Ventura County,5/20/2020,388,320,,,
Yolo County,5/20/2020,246,232,,,
Yuba County,5/20/2020,33,20,,,
Wilton Rancheria Tribe,5/20/2020,,,,,
Bishop Paiute Tribal Council,5/20/2020,,,,,
Alameda County,5/21/2020,533,412,91,91,
Alpine County,5/21/2020,,,,,
Amador County,5/21/2020,,,,,
Butte County,5/21/2020,118,118,,,
Calaveras County,5/21/2020,73,23,,,
Colusa County,5/21/2020,,,,,
Contra Costa County,5/21/2020,568,350,,,
Del Norte County,5/21/2020,20,,,,
El Dorado County,5/21/2020,26,14,,,
Fresno County,5/21/2020,305,250,28,28,
Glenn County,5/21/2020,,,,,
Humboldt County,5/21/2020,74,49,15,,
Imperial County,5/21/2020,132,132,37,,
Inyo County,5/21/2020,,,,,
Kern County,5/21/2020,,,15,15,
Kings County,5/21/2020,41,36,,,
Lake County,5/21/2020,15,,,,
Lassen County,5/21/2020,,,,,
Los Angeles County,5/21/2020,4233,2463,651,651,
Madera County ,5/21/2020,24,21,,,
Marin County ,5/21/2020,191,111,44,,
Mariposa County,5/21/2020,44,15,,,
Mendocino County,5/21/2020,189,150,,,
Merced County,5/21/2020,112,74,,,
Modoc County,5/21/2020,,,,,
Mono County,5/21/2020,,,,,
Monterey County,5/21/2020,142,98,108,15,
Napa County ,5/21/2020,97,50,18,12,
Nevada County ,5/21/2020,70,,,,
Orange County,5/21/2020,666,340,78,78,
Placer County,5/21/2020,73,40,12,12,
Plumas County,5/21/2020,,,,,
Riverside County,5/21/2020,314,314,15,15,
Sacramento County,5/21/2020,423,355,63,63,
San Benito County,5/21/2020,67,51,,,
San Bernardino County,5/21/2020,50,37,20,,20
San Diego County,5/21/2020,1617,288,44,44,
San Francisco,5/21/2020,2678,1011,91,91,
San Joaquin County,5/21/2020,76,44,,,
San Luis Obispo County,5/21/2020,155,,14,14,
San Mateo County,5/21/2020,163,163,,,
Santa Barbara County,5/21/2020,144,119,,,
Santa Clara County,5/21/2020,689,433,105,105,
Santa Cruz County,5/21/2020,118,77,35,,
Shasta County,5/21/2020,30,25,,,
Sierra County,5/21/2020,,,,,
Siskiyou County,5/21/2020,,,,,
Solano County,5/21/2020,238,36,,,
Sonoma County,5/21/2020,157,82,,,
Stanislaus County,5/21/2020,121,93,,,
Sutter County,5/21/2020,19,19,,,
Tehama County,5/21/2020,,,,,
Trinity County,5/21/2020,,,,,
Tulare County,5/21/2020,113,36,,,
Tuolumne County,5/21/2020,50,,,,
Ventura County,5/21/2020,388,326,,,
Yolo County,5/21/2020,246,230,,,
Yuba County,5/21/2020,33,20,,,
Wilton Rancheria Tribe,5/21/2020,,,,,
Bishop Paiute Tribal Council,5/21/2020,,,,,
Alameda County,5/22/2020,533,412,91,91,
Alpine County,5/22/2020,,,,,
Amador County,5/22/2020,,,,,
Butte County,5/22/2020,111,111,,,
Calaveras County,5/22/2020,73,23,,,
Colusa County,5/22/2020,,,,,
Contra Costa County,5/22/2020,568,361,,,
Del Norte County,5/22/2020,20,,,,
El Dorado County,5/22/2020,26,13,,,
Fresno County,5/22/2020,305,250,28,28,
Glenn County,5/22/2020,,,,,
Humboldt County,5/22/2020,74,51,15,,
Imperial County,5/22/2020,132,132,37,,
Inyo County,5/22/2020,,,,,
Kern County,5/22/2020,,,15,15,
Kings County,5/22/2020,41,39,,,
Lake County,5/22/2020,15,,,,
Lassen County,5/22/2020,,,,,
Los Angeles County,5/22/2020,4233,2554,651,651,
Madera County ,5/22/2020,17,17,,,
Marin County ,5/22/2020,191,115,44,,
Mariposa County,5/22/2020,44,15,,,
Mendocino County,5/22/2020,189,150,,,
Merced County,5/22/2020,112,74,,,
Modoc County,5/22/2020,,,,,
Mono County,5/22/2020,,,,,
Monterey County,5/22/2020,142,98,108,15,
Napa County ,5/22/2020,97,50,18,12,
Nevada County ,5/22/2020,70,,,,
Orange County,5/22/2020,666,356,78,78,
Placer County,5/22/2020,73,40,12,12,
Plumas County,5/22/2020,,,,,
Riverside County,5/22/2020,330,330,15,15,
Sacramento County,5/22/2020,423,355,63,63,
San Benito County,5/22/2020,67,39,,,
San Bernardino County,5/22/2020,50,37,20,,20
San Diego County,5/22/2020,1617,277,44,44,
San Francisco,5/22/2020,2678,1035,91,91,
San Joaquin County,5/22/2020,76,49,,,
San Luis Obispo County,5/22/2020,155,,14,14,
San Mateo County,5/22/2020,163,163,,,
Santa Barbara County,5/22/2020,143,120,,,
Santa Clara County,5/22/2020,689,435,105,105,
Santa Cruz County,5/22/2020,118,83,35,,
Shasta County,5/22/2020,30,25,,,
Sierra County,5/22/2020,,,,,
Siskiyou County,5/22/2020,,,,,
Solano County,5/22/2020,238,37,,,
Sonoma County,5/22/2020,157,82,,,
Stanislaus County,5/22/2020,121,93,,,
Sutter County,5/22/2020,19,19,,,
Tehama County,5/22/2020,,,,,
Trinity County,5/22/2020,,,,,
Tulare County,5/22/2020,113,44,,,
Tuolumne County,5/22/2020,50,,,,
Ventura County,5/22/2020,388,328,,,
Yolo County,5/22/2020,245,227,,,
Yuba County,5/22/2020,31,18,,,
Wilton Rancheria Tribe,5/22/2020,,,,,
Bishop Paiute Tribal Council,5/22/2020,,,,,
Alameda County,5/23/2020,533,432,91,91,
Alpine County,5/23/2020,,,,,
Amador County,5/23/2020,,,,,
Butte County,5/23/2020,111,111,,,
Calaveras County,5/23/2020,73,23,,,
Colusa County,5/23/2020,,,,,
Contra Costa County,5/23/2020,568,369,,,
Del Norte County,5/23/2020,20,,,,
El Dorado County,5/23/2020,26,13,,,
Fresno County,5/23/2020,305,250,28,28,
Glenn County,5/23/2020,,,,,
Humboldt County,5/23/2020,74,51,15,,
Imperial County,5/23/2020,132,132,37,,
Inyo County,5/23/2020,,,,,
Kern County,5/23/2020,,,15,15,
Kings County,5/23/2020,41,39,,,
Lake County,5/23/2020,15,,,,
Lassen County,5/23/2020,,,,,
Los Angeles County,5/23/2020,4233,2712,651,651,
Madera County ,5/23/2020,17,17,,,
Marin County ,5/23/2020,191,115,44,,
Mariposa County,5/23/2020,44,15,,,
Mendocino County,5/23/2020,189,150,,,
Merced County,5/23/2020,112,74,,,
Modoc County,5/23/2020,,,,,
Mono County,5/23/2020,,,,,
Monterey County,5/23/2020,142,98,108,15,
Napa County ,5/23/2020,97,50,18,12,
Nevada County ,5/23/2020,70,,,,
Orange County,5/23/2020,666,356,78,78,
Placer County,5/23/2020,73,44,12,12,
Plumas County,5/23/2020,,,,,
Riverside County,5/23/2020,330,330,15,15,
Sacramento County,5/23/2020,423,385,63,63,
San Benito County,5/23/2020,67,39,,,
San Bernardino County,5/23/2020,50,37,20,,20
San Diego County,5/23/2020,1617,279,44,44,
San Francisco,5/23/2020,2678,1046,91,91,
San Joaquin County,5/23/2020,76,50,,,
San Luis Obispo County,5/23/2020,155,,14,14,
San Mateo County,5/23/2020,163,163,,,
Santa Barbara County,5/23/2020,146,123,,,
Santa Clara County,5/23/2020,689,439,105,105,
Santa Cruz County,5/23/2020,118,89,35,,
Shasta County,5/23/2020,30,25,,,
Sierra County,5/23/2020,,,,,
Siskiyou County,5/23/2020,,,,,
Solano County,5/23/2020,238,37,,,
Sonoma County,5/23/2020,157,82,,,
Stanislaus County,5/23/2020,121,97,,,
Sutter County,5/23/2020,19,19,,,
Tehama County,5/23/2020,,,,,
Trinity County,5/23/2020,,,,,
Tulare County,5/23/2020,113,44,,,
Tuolumne County,5/23/2020,50,,,,
Ventura County,5/23/2020,388,328,,,
Yolo County,5/23/2020,245,227,,,
Yuba County,5/23/2020,33,18,,,
Wilton Rancheria Tribe,5/23/2020,,,,,
