age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
Unknown,75,4/28/2020,0.16,0,0,
0-17,1398,4/29/2020,2.86,0,0,22.49
18-49,23836,4/29/2020,48.73,131,6.93,43.52
50-64,12705,4/29/2020,25.97,292,15.45,18.42
65+,10906,4/29/2020,22.29,1467,77.62,15.57
Unknown,72,4/29/2020,0.15,0,0,
0-17,1449,4/30/2020,2.9,0,0,22.49
18-49,24613,4/30/2020,48.8,137,6.9,43.52
50-64,13044,4/30/2020,25.9,308,15.5,18.42
65+,11256,4/30/2020,22.3,1543,77.6,15.57
Unknown,80,4/30/2020,0.2,0,0,
0-17,1566,5/1/2020,3,0,0,22.49
18-49,25548,5/1/2020,48.95,139,6.67,43.52
50-64,13454,5/1/2020,25.78,322,15.46,18.42
65+,11547,5/1/2020,22.12,1622,77.87,15.57
Unknown,82,5/1/2020,0.16,0,0,
0-17,1640,5/2/2020,3.1,0,0,22.5
18-49,26256,5/2/2020,49,139,6.5,43.5
50-64,13773,5/2/2020,25.7,331,15.5,18.4
65+,11860,5/2/2020,22.1,1668,78,15.6
Unknown,87,5/2/2020,0.2,0,0,0
0-17,1715,5/3/2020,3.12,0,0,22.5
18-49,26956,5/3/2020,49.07,139,6.38,43.5
50-64,14078,5/3/2020,25.63,335,15.38,18.4
65+,12098,5/3/2020,22.02,1704,78.24,15.6
Unknown,90,5/3/2020,0.16,0,0,0
0-17,1773,5/4/2020,3.2,0,0,22.5
18-49,27556,5/4/2020,49,141,6.3,43.5
50-64,14366,5/4/2020,25.6,342,15.4,18.4
65+,12425,5/4/2020,22.1,1738,78.3,15.6
Unknown,92,5/4/2020,0.2,0,0,0
0-17,1937,5/5/2020,3.3,0,0,22.5
18-49,28968,5/5/2020,49.3,145,6.2,43.5
50-64,14974,5/5/2020,25.5,353,15.2,18.4
65+,12842,5/5/2020,21.8,1826,78.5,15.6
Unknown,94,5/5/2020,0.2,1,0,0
0-17,2055,5/6/2020,3.4,0,0,22.5
18-49,29902,5/6/2020,49.3,150,6.2,43.5
50-64,15375,5/6/2020,25.4,370,15.3,18.4
65+,13194,5/6/2020,21.8,1891,78.4,15.6
Unknown,88,5/6/2020,0.1,1,0,0
0-17,2181,5/7/2020,3.5,0,0,22.5
18-49,30860,5/7/2020,49.4,153,6.1,43.5
50-64,15793,5/7/2020,25.3,386,15.5,18.4
65+,13580,5/7/2020,21.7,1953,78.3,15.6
Unknown,98,5/7/2020,0.2,1,0,0
0-17,2260,5/8/2020,3.5,0,0,22.5
18-49,32004,5/8/2020,49.6,156,6.1,43.5
50-64,16250,5/8/2020,25.2,395,15.3,18.4
65+,13948,5/8/2020,21.6,2024,78.6,15.6
Unknown,99,5/8/2020,0.2,1,0,0
0-17,2373,5/9/2020,3.6,0,0,22.5
18-49,33190,5/9/2020,49.8,162,6.1,43.5
50-64,16729,5/9/2020,25.1,405,15.2,18.4
65+,14290,5/9/2020,21.4,2089,78.6,15.6
Unknown,98,5/9/2020,0.1,1,0,0
0-17,2444,5/10/2020,3.6,0,0,22.5
18-49,33805,5/10/2020,49.8,163,6.1,43.5
50-64,17002,5/10/2020,25,412,15.3,18.4
65+,14597,5/10/2020,21.5,2115,78.6,15.6
Unknown,91,5/10/2020,0.1,1,0,0
0-17,2549,5/11/2020,3.7,0,0,22.5
18-49,34573,5/11/2020,49.8,167,6.1,43.5
50-64,17322,5/11/2020,25,418,15.2,18.4
65+,14845,5/11/2020,21.4,2166,78.7,15.6
Unknown,93,5/11/2020,0.1,1,0,0
0-17,2672,5/12/2020,3.8,0,0,22.5
18-49,35567,5/12/2020,50,169,5.9,43.5
50-64,17701,5/12/2020,24.9,440,15.5,18.4
65+,15098,5/12/2020,21.2,2236,78.6,15.6
Unknown,103,5/12/2020,0.1,1,0,0
0-17,2799,5/13/2020,3.8,0,0,22.5
18-49,36602,5/13/2020,50,176,6,43.5
50-64,18154,5/13/2020,24.8,445,15.2,18.4
65+,15498,5/13/2020,21.2,2304,78.7,15.6
Unknown,111,5/13/2020,0.2,1,0,0
0-17,2951,5/14/2020,3.9,0,0,22.5
18-49,37637,5/14/2020,50.2,183,6,43.5
50-64,18510,5/14/2020,24.7,459,15.2,18.4
65+,15725,5/14/2020,21,2386,78.8,15.6
Unknown,113,5/14/2020,0.2,1,0,0
0-17,3064,5/15/2020,4,0,0,22.5
18-49,38611,5/15/2020,50.3,185,5.9,43.5
50-64,18908,5/15/2020,24.6,468,15,18.4
65+,16101,5/15/2020,21,2465,79,15.6
Unknown,109,5/15/2020,0.1,1,0,0
0-17,3225,5/16/2020,4.1,0,0,22.5
18-49,39651,5/16/2020,50.3,187,5.9,43.5
50-64,19365,5/16/2020,24.6,475,14.9,18.4
65+,16489,5/16/2020,20.9,2516,79.1,15.6
Unknown,109,5/16/2020,0.1,1,0,0
0-17,3355,5/17/2020,4.2,0,0,22.5
18-49,40539,5/17/2020,50.4,189,5.9,43.5
0-17,11064,6/16/2020,7,0,0,22.5
18-49,85325,6/16/2020,54.3,312,6.2,43.5
50-64,34922,6/16/2020,22.2,812,16,18.4
65+,25503,6/16/2020,16.2,3939,77.8,15.6
Missing,201,6/16/2020,0.1,1,0,0
0-17,10451,6/14/2020,6.9,0,0,22.5
18-49,81943,6/14/2020,54.1,307,6.2,43.5
50-64,33871,6/14/2020,22.4,798,16,18.4
65+,24981,6/14/2020,16.5,3874,77.8,15.6
Missing,206,6/14/2020,0.1,1,0,0
0-17,9819,6/12/2020,6.7,0,0,22.5
18-49,78441,6/12/2020,53.9,296,6.1,43.5
50-64,32783,6/12/2020,22.5,778,15.9,18.4
65+,24403,6/12/2020,16.8,3804,78,15.6
Missing,197,6/12/2020,0.1,1,0,0
0-17,7947,6/6/2020,6.2,0,0,22.5
18-49,68412,6/6/2020,53.1,269,6,43.5
50-64,29556,6/6/2020,22.9,709,15.8,18.4
65+,22704,6/6/2020,17.6,3523,78.3,15.6
Missing,193,6/6/2020,0.1,0,0,0
0-17,7678,6/5/2020,6.1,0,0,22.5
18-49,66755,6/5/2020,53,261,5.9,43.5
50-64,29033,6/5/2020,23,696,15.7,18.4
65+,22365,6/5/2020,17.7,3478,78.4,15.6
Missing,185,6/5/2020,0.1,0,0,0
50-64,19703,5/17/2020,24.5,481,15,18.4
65+,16727,5/17/2020,20.8,2546,79.2,15.2
Unknown,106,5/17/2020,0.1,0,0,0
0-17,3446,5/18/2020,4.2,0,0,22.5
18-49,41321,5/18/2020,50.5,190,5.8,43.5
50-64,20003,5/18/2020,24.5,483,14.9,18.4
65+,16920,5/18/2020,20.7,2577,79.3,15.6
Unknown,105,5/18/2020,0.1,0,0,0
0-17,3657,5/19/2020,4.4,0,0,22.5
18-49,42591,5/19/2020,50.7,195,5.8,43.5
50-64,20468,5/19/2020,24.4,509,15.1,18.4
65+,17232,5/19/2020,20.5,2670,79.1,15.6
Unknown,109,5/19/2020,0.1,0,0,0
0-17,3855,5/20/2020,4.5,0,0,22.5
18-49,43749,5/20/2020,50.8,198,5.7,43.5
50-64,20967,5/20/2020,24.3,522,15.1,18.4
65+,17513,5/20/2020,20.3,2731,79.1,15.6
Unknown,113,5/20/2020,0.1,0,0,0
0-17,4049,5/21/2020,4.6,0,0,22.5
18-49,44952,5/21/2020,50.8,203,5.7,43.5
50-64,21461,5/21/2020,24.3,536,15.1,18.4
65+,17864,5/21/2020,20.2,2805,79.1,15.6
Unknown,118,5/21/2020,0.1,0,0,0
0-17,4273,5/22/2020,4.7,0,0,22.5
18-49,46131,5/22/2020,50.9,203,5.7,43.5
50-64,21938,5/22/2020,24.2,544,15.2,18.4
65+,18164,5/22/2020,20,2842,79.2,15.6
Unknown,125,5/22/2020,0.1,0,0,0
0-17,4462,5/23/2020,4.8,0,0,22.5
18-49,47331,5/23/2020,51.1,204,5.6,43.5
50-64,22361,5/23/2020,24.1,556,15.2,18.4
65+,18424,5/23/2020,19.9,2885,79.1,15.6
Unknown,132,5/23/2020,0.1,1,0,0
0-17,4633,5/24/2020,4.9,0,0,22.5
18-49,48364,5/24/2020,51.1,206,5.6,43.5
50-64,22754,5/24/2020,24.1,560,15.3,18.4
65+,18670,5/24/2020,19.7,2899,79.1,15.6
Unknown,137,5/24/2020,0.1,1,0,0
0-17,4872,5/25/2020,5,0,0,22.5
18-49,49643,5/25/2020,51.3,208,5.7,43.5
50-64,23185,5/25/2020,24,560,15.2,18.4
