age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
50-64,82217,7/22/2020,19.3,1371,17.2,18.4
65+,48744,7/22/2020,11.5,6052,76.1,15.6
Missing,467,7/22/2020,0.1,0,0,0
0-17,38301,7/23/2020,8.8,0,0,22.5
18-49,262780,7/23/2020,60.4,547,6.8,43.5
50-64,84114,7/23/2020,19.3,1402,17.3,18.4
65+,49648,7/23/2020,11.4,6147,75.9,15.6
Missing,491,7/23/2020,0.1,0,0,0
0-17,39396,7/24/2020,8.8,0,0,22.5
18-49,268931,7/24/2020,60.4,567,6.9,43.5
50-64,86034,7/24/2020,19.3,1430,17.4,18.4
65+,50518,7/24/2020,11.3,6245,75.8,15.6
Missing,521,7/24/2020,0.1,0,0,0
0-17,40407,7/25/2020,8.9,0,0,22.5
18-49,274037,7/25/2020,60.4,580,6.9,43.5
50-64,87494,7/25/2020,19.3,1463,17.5,18.4
65+,51190,7/25/2020,11.3,6339,75.6,15.6
Missing,531,7/25/2020,0.1,0,0,0
0-17,41148,7/26/2020,8.9,0,0,22.5
18-49,278295,7/26/2020,60.4,585,7,43.5
50-64,88800,7/26/2020,19.3,1467,17.4,18.4
65+,51772,7/26/2020,11.2,6360,75.6,15.6
Missing,535,7/26/2020,0.1,0,0,0
0-17,41836,7/27/2020,9,0,0,22.5
18-49,282008,7/27/2020,60.4,589,7,43.5
50-64,89869,7/27/2020,19.3,1469,17.4,18.4
65+,52302,7/27/2020,11.2,6378,75.6,15.6
Missing,535,7/27/2020,0.1,0,0,0
0-17,42697,7/28/2020,9,0,0,22.5
18-49,287413,7/28/2020,60.5,606,7.1,43.5
50-64,91465,7/28/2020,19.2,1497,17.6,18.4
65+,53138,7/28/2020,11.2,6413,75.3,15.6
Missing,592,7/28/2020,0.1,0,0,0
0-17,43880,7/29/2020,9,0,0,22.5
18-49,293721,7/29/2020,60.5,626,7.2,43.5
50-64,93273,7/29/2020,19.2,1534,17.5,18.4
65+,54039,7/29/2020,11.1,6591,75.3,15.6
Missing,589,7/29/2020,0.1,0,0,0
0-17,44793,7/30/2020,9.1,0,0,22.5
18-49,298735,7/30/2020,60.5,637,7.1,43.5
50-64,94730,7/30/2020,19.2,1569,17.6,18.4
65+,54743,7/30/2020,11.1,6733,75.3,15.6
Missing,587,7/30/2020,0.1,0,0,0
0-17,45520,7/31/2020,9.1,0,0,22.5
18-49,302739,7/31/2020,60.5,649,7.1,43.5
50-64,95892,7/31/2020,19.2,1594,17.5,18.4
65+,55360,7/31/2020,11.1,6851,75.3,15.6
Missing,619,7/31/2020,0.1,1,0,0
0-17,46556,8/1/2020,9.1,0,0,22.5
18-49,308114,8/1/2020,60.5,666,7.2,43.5
50-64,97551,8/1/2020,19.2,1626,17.6,18.4
65+,56206,8/1/2020,11,6959,75.2,15.6
Missing,735,8/1/2020,0.1,1,0,0
0-17,47286,8/2/2020,9.2,1,0,22.5
18-49,311547,8/2/2020,60.5,674,7.2,43.5
50-64,98574,8/2/2020,19.1,1646,17.6,18.4
65+,56786,8/2/2020,11,7004,75.1,15.6
Missing,708,8/2/2020,0.1,1,0,0
0-17,47920,8/3/2020,9.2,1,0,22.5
18-49,314238,8/3/2020,60.5,676,7.2,43.5
50-64,99383,8/3/2020,19.1,1652,17.7,18.4
65+,57247,8/3/2020,11,7019,75.1,15.6
Missing,639,8/3/2020,0.1,1,0,0
0-17,48524,8/4/2020,9.2,1,0,22.5
18-49,317287,8/4/2020,60.5,690,7.2,43.5
50-64,100408,8/4/2020,19.1,1693,17.8,18.4
65+,57847,8/4/2020,11,7135,74.9,15.6
Missing,656,8/4/2020,0.1,1,0,0
0-17,49158,8/5/2020,9.3,1,0,22.5
18-49,320274,8/5/2020,60.4,699,7.2,43.5
50-64,101404,8/5/2020,19.1,1731,17.9,18.4
65+,58458,8/5/2020,11,7228,74.8,15.6
Missing,686,8/5/2020,0.1,1,0,0
0-17,50193,8/6/2020,9.3,1,0,22.5
18-49,325283,8/6/2020,60.4,714,7.3,43.5
50-64,102941,8/6/2020,19.1,1758,17.9,18.4
65+,59282,8/6/2020,11,7333,74.8,15.6
Missing,717,8/6/2020,0.1,1,0,0
0-17,51132,8/7/2020,9.4,1,0,22.5
18-49,329682,8/7/2020,60.4,729,7.3,43.5
50-64,104297,8/7/2020,19.1,1791,17.9,18.4
65+,59954,8/7/2020,11,7459,74.7,15.6
Missing,722,8/7/2020,0.1,2,0,0
0-17,52104,8/8/2020,9.4,1,0,22.5
18-49,334619,8/8/2020,60.4,745,7.3,43.5
50-64,105860,8/8/2020,19.1,1838,18.1,18.4
65+,60829,8/8/2020,11,7587,74.6,15.6
Missing,748,8/8/2020,0.1,2,0,0
0-17,53136,8/9/2020,9.5,1,0,22.5
18-49,339235,8/9/2020,60.4,750,7.3,43.5
50-64,107300,8/9/2020,19.1,1856,18.1,18.4
65+,61464,8/9/2020,10.9,7638,74.5,15.6
Missing,776,8/9/2020,0.1,2,0,0
0-17,54778,8/10/2020,9.5,1,0,22.5
18-49,346637,8/10/2020,60.3,750,7.3,43.5
50-64,109714,8/10/2020,19.1,1863,18.1,18.4
65+,62506,8/10/2020,10.9,7657,74.5,15.6
Missing,776,8/10/2020,0.1,1,0,0
0-17,56276,8/11/2020,9.6,1,0,22.5
18-49,353518,8/11/2020,60.3,763,7.3,43.5
50-64,111811,8/11/2020,19.1,1910,18.2,18.4
65+,63617,8/11/2020,10.9,7816,74.5,15.6
Missing,834,8/11/2020,0.1,1,0,0
0-17,57230,8/12/2020,9.6,1,0,22.5
18-49,357676,8/12/2020,60.3,769,7.2,43.5
50-64,113099,8/12/2020,19.1,1941,18.2,18.4
65+,64298,8/12/2020,10.8,7953,74.6,15.6
Missing,838,8/12/2020,0.1,2,0,0
0-17,58146,8/13/2020,9.7,1,0,22.5
18-49,362344,8/13/2020,60.3,783,7.2,43.5
50-64,114633,8/13/2020,19.1,1974,18.2,18.4
65+,65116,8/13/2020,10.8,8071,74.5,15.6
Missing,836,8/13/2020,0.1,2,0,0
0-17,59682,8/14/2020,9.7,1,0,22.5
18-49,369772,8/14/2020,60.3,789,7.2,43.5
50-64,116986,8/14/2020,19.1,2010,18.3,18.4
65+,66403,8/14/2020,10.8,8189,74.5,15.6
Missing,846,8/14/2020,0.1,5,0,0
0-17,60630,8/15/2020,9.8,1,0,22.5
18-49,374400,8/15/2020,60.2,801,7.2,43.5
50-64,118498,8/15/2020,19.1,2039,18.4,18.4
65+,67168,8/15/2020,10.8,8259,74.4,15.6
Missing,866,8/15/2020,0.1,4,0,0
0-17,61538,8/16/2020,9.8,1,0,22.5
18-49,378186,8/16/2020,60.2,800,7.2,43.5
50-64,119629,8/16/2020,19,2041,18.4,18.4
65+,67816,8/16/2020,10.8,8268,74.4,15.6
Missing,862,8/16/2020,0.1,4,0,0
0-17,62233,8/17/2020,9.8,1,0,22.5
18-49,380923,8/17/2020,60.2,805,7.2,43.5
50-64,120440,8/17/2020,19,2047,18.4,18.4
65+,68211,8/17/2020,10.8,8288,74.4,15.6
Missing,860,8/17/2020,0.1,4,0,0
0-17,63118,8/18/2020,9.9,1,0,22.5
18-49,384524,8/18/2020,60.2,812,7.2,43.5
50-64,121521,8/18/2020,19,2084,18.4,18.4
65+,68806,8/18/2020,10.8,8401,74.3,15.6
Missing,862,8/18/2020,0.1,3,0,0
0-17,63909,8/19/2020,9.9,1,0,22.5
18-49,388034,8/19/2020,60.2,833,7.3,43.5
50-64,122554,8/19/2020,19,2112,18.4,18.4
65+,69380,8/19/2020,10.8,8517,74.3,15.6
Missing,874,8/19/2020,0.1,3,0,0
0-17,64573,8/20/2020,9.9,2,0,22.5
18-49,391321,8/20/2020,60.2,842,7.3,43.5
50-64,123591,8/20/2020,19,2142,18.5,18.4
65+,69957,8/20/2020,10.8,8601,74.2,15.6
Missing,894,8/20/2020,0.1,3,0,0
0-17,65360,8/21/2020,9.9,2,0,22.5
18-49,395106,8/21/2020,60.1,847,7.2,43.5
50-64,124841,8/21/2020,19,2169,18.5,18.4
65+,70688,8/21/2020,10.8,8720,74.3,15.6
Missing,897,8/21/2020,0.1,3,0,0
0-17,66204,8/22/2020,10,2,0,22.5
18-49,399060,8/22/2020,60.1,866,7.2,43.5
50-64,126041,8/22/2020,19,2204,18.5,18.4
65+,71455,8/22/2020,10.8,8870,74.3,15.6
Missing,909,8/22/2020,0.1,3,0,0
0-17,66828,8/23/2020,10,2,0,22.5
18-49,401960,8/23/2020,60.1,868,7.3,43.5
50-64,126998,8/23/2020,19,2209,18.5,18.4
65+,71901,8/23/2020,10.8,8873,74.2,15.6
Missing,928,8/23/2020,0.1,3,0,0
0-17,67462,8/24/2020,10,2,0,22.5
18-49,404499,8/24/2020,60.1,871,7.3,43.5
50-64,127847,8/24/2020,19,2213,18.4,18.4
65+,72358,8/24/2020,10.8,8914,74.3,15.6
Missing,929,8/24/2020,0.1,3,0,0
0-17,68163,8/25/2020,10,3,0,22.5
18-49,408100,8/25/2020,60.1,877,7.2,43.5
50-64,128929,8/25/2020,19,2247,18.5,18.4
65+,72988,8/25/2020,10.7,9027,74.2,15.6
Missing,919,8/25/2020,0.1,4,0,0
0-17,68731,8/26/2020,10.1,3,0,22.5
18-49,410668,8/26/2020,60.1,888,7.2,43.5
50-64,129732,8/26/2020,19,2266,18.4,18.4
65+,73489,8/26/2020,10.8,9135,74.3,15.6
Missing,909,8/26/2020,0.1,4,0,0
0-17,69369,8/27/2020,10.1,4,0,22.5
18-49,413764,8/27/2020,60.1,901,7.2,43.5
50-64,130701,8/27/2020,19,2301,18.5,18.4
65+,74124,8/27/2020,10.8,9252,74.2,15.6
Missing,900,8/27/2020,0.1,3,0,0
0-17,69964,8/28/2020,10.1,3,0,22.5
18-49,416615,8/28/2020,60,907,7.2,43.5
50-64,131694,8/28/2020,19,2317,18.4,18.4
65+,74665,8/28/2020,10.8,9339,74.3,15.6
Missing,901,8/28/2020,0.1,3,0,0
0-17,70677,8/29/2020,10.1,3,0,22.5
18-49,420231,8/29/2020,60,922,7.2,43.5
50-64,132806,8/29/2020,19,2348,18.4,18.4
65+,75284,8/29/2020,10.8,9470,74.3,15.6
Missing,911,8/29/2020,0.1,2,0,0
0-17,71224,8/30/2020,10.1,3,0,22.5
18-49,422691,8/30/2020,60,920,7.2,43.5
50-64,133533,8/30/2020,19,2351,18.4,18.4
65+,75729,8/30/2020,10.8,9481,74.3,15.6
Missing,908,8/30/2020,0.1,2,0,0
0-17,71776,8/31/2020,10.1,3,0,22.5
18-49,424850,8/31/2020,60,924,7.2,43.5
50-64,134175,8/31/2020,19,2359,18.4,18.4
65+,76098,8/31/2020,10.8,9507,74.3,15.6
Missing,898,8/31/2020,0.1,2,0,0
0-17,72271,9/1/2020,10.1,3,0,22.5
18-49,427519,9/1/2020,60,932,7.2,43.5
50-64,134862,9/1/2020,18.9,2402,18.5,18.4
65+,76511,9/1/2020,10.7,9614,74.2,15.6
Missing,889,9/1/2020,0.1,2,0,0
0-17,72822,9/2/2020,10.2,3,0,22.5
18-49,430475,9/2/2020,60,943,7.2,43.5
50-64,135797,9/2/2020,18.9,2438,18.6,18.4
65+,77191,9/2/2020,10.8,9734,74.2,15.6
Missing,892,9/2/2020,0.1,2,0,0
0-17,73330,9/3/2020,10.2,3,0,22.5
18-49,433487,9/3/2020,60,963,7.2,43.5
50-64,136757,9/3/2020,18.9,2466,18.6,18.4
65+,77807,9/3/2020,10.8,9858,74.2,15.6
Missing,902,9/3/2020,0.1,2,0,0
0-17,73915,9/4/2020,10.2,3,0,22.5
18-49,436511,9/4/2020,60,978,7.3,43.5
50-64,137641,9/4/2020,18.9,2513,18.7,18.4
65+,78262,9/4/2020,10.8,9973,74,15.6
Missing,910,9/4/2020,0.1,2,0,0
0-17,74490,9/5/2020,10.2,3,0,22.5
18-49,439510,9/5/2020,60,986,7.3,43.5
50-64,138496,9/5/2020,18.9,2536,18.7,18.4
65+,78740,9/5/2020,10.8,10065,74.1,15.6
Missing,908,9/5/2020,0.1,2,0,0
0-17,74886,9/6/2020,10.2,3,0,22.5
18-49,441336,9/6/2020,60,983,7.2,43.5
50-64,139067,9/6/2020,18.9,2543,18.7,18.4
65+,79046,9/6/2020,10.8,10065,74,15.6
Missing,900,9/6/2020,0.1,2,0,0
0-17,75198,9/7/2020,10.2,3,0,22.5
18-49,442946,9/7/2020,60,986,7.2,43.5
50-64,139563,9/7/2020,18.9,2550,18.7,18.4
65+,79301,9/7/2020,10.7,10106,74.1,15.6
Missing,903,9/7/2020,0.1,2,0,0
0-17,75382,9/8/2020,10.2,3,0,22.5
18-49,443906,9/8/2020,60,990,7.2,43.5
50-64,139866,9/8/2020,18.9,2578,18.8,18.4
65+,79476,9/8/2020,10.7,10154,74,15.6
Missing,897,9/8/2020,0.1,2,0,0
0-17,75769,9/9/2020,10.2,3,0,22.5
18-49,445900,9/9/2020,60,1000,7.2,43.5
50-64,140488,9/9/2020,18.9,2616,18.9,18.4
65+,79803,9/9/2020,10.7,10226,73.8,15.6
Missing,905,9/9/2020,0.1,2,0,0
0-17,76136,9/10/2020,10.2,3,0,22.5
18-49,447876,9/10/2020,60,1004,7.2,43.5
50-64,141078,9/10/2020,18.9,2643,18.9,18.4
65+,80183,9/10/2020,10.7,10311,73.8,15.6
Missing,918,9/10/2020,0.1,2,0,0
0-17,76593,9/11/2020,10.2,3,0,22.5
18-49,450341,9/11/2020,60,1010,7.2,43.5
50-64,141798,9/11/2020,18.9,2671,19,18.4
65+,80630,9/11/2020,10.7,10396,73.8,15.6
Missing,936,9/11/2020,0.1,2,0,0
0-17,77187,9/12/2020,10.2,3,0,22.5
18-49,453134,9/12/2020,60,1022,7.2,43.5
50-64,142627,9/12/2020,18.9,2695,19,18.4
65+,81053,9/12/2020,10.7,10489,73.8,15.6
Missing,922,9/12/2020,0.1,1,0,0
0-17,77560,9/13/2020,10.2,3,0,22.5
18-49,454811,9/13/2020,60,1023,7.2,43.5
50-64,143153,9/13/2020,18.9,2693,19,18.4
65+,81333,9/13/2020,10.7,10491,73.8,15.6
Missing,921,9/13/2020,0.1,1,0,0
0-17,77859,9/14/2020,10.2,3,0,22.5
18-49,456173,9/14/2020,60,1023,7.2,43.5
50-64,143563,9/14/2020,18.9,2716,19,18.4
65+,81506,9/14/2020,10.7,10517,73.8,15.6
Missing,912,9/14/2020,0.1,1,0,0
0-17,78192,9/15/2020,10.2,3,0,22.5
18-49,457919,9/15/2020,60,1030,7.1,43.5
50-64,144116,9/15/2020,18.9,2742,19,18.4
65+,81822,9/15/2020,10.7,10635,73.8,15.6
Missing,914,9/15/2020,0.1,1,0,0
0-17,78506,9/16/2020,10.2,3,0,22.5
18-49,459903,9/16/2020,60,1038,7.2,43.5
50-64,144721,9/16/2020,18.9,2758,19,18.4
65+,82148,9/16/2020,10.7,10718,73.8,15.6
Missing,923,9/16/2020,0.1,0,0,0
0-17,78946,9/17/2020,10.3,3,0,22.5
18-49,462003,9/17/2020,60,1051,7.2,43.5
50-64,145439,9/17/2020,18.9,2783,19,18.4
65+,82521,9/17/2020,10.7,10790,73.8,15.6
Missing,922,9/17/2020,0.1,0,0,0
0-17,79502,9/18/2020,10.3,3,0,22.5
18-49,464501,9/18/2020,60,1070,7.2,43.5
50-64,146262,9/18/2020,18.9,2823,19.1,18.4
65+,82954,9/18/2020,10.7,10866,73.6,15.6
Missing,916,9/18/2020,0.1,0,0,0
0-17,80069,9/19/2020,10.3,2,0,22.5
18-49,466993,9/19/2020,60,1084,7.3,43.5
50-64,147049,9/19/2020,18.9,2838,19.1,18.4
65+,83379,9/19/2020,10.7,10924,73.6,15.6
Missing,910,9/19/2020,0.1,0,0,0
0-17,80508,9/20/2020,10.3,2,0,22.5
18-49,468969,9/20/2020,60,1081,7.3,43.5
50-64,147624,9/20/2020,18.9,2843,19.1,18.4
65+,83683,9/20/2020,10.7,10947,73.6,15.6
Missing,910,9/20/2020,0.1,0,0,0
0-17,80868,9/21/2020,10.3,2,0,22.5
18-49,470432,9/21/2020,60,1084,7.3,43.5
50-64,148177,9/21/2020,18.9,2846,19.1,18.4
65+,83936,9/21/2020,10.7,10968,73.6,15.6
Missing,911,9/21/2020,0.1,0,0,0
0-17,81177,9/22/2020,10.3,2,0,22.5
18-49,472300,9/22/2020,60,1096,7.3,43.5
50-64,148760,9/22/2020,18.9,2870,19.1,18.4
65+,84312,9/22/2020,10.7,11070,73.6,15.6
Missing,921,9/22/2020,0.1,0,0,0
0-17,81545,9/23/2020,10.3,2,0,22.5
18-49,474158,9/23/2020,60,1101,7.3,43.5
50-64,149356,9/23/2020,18.9,2904,19.2,18.4
65+,84659,9/23/2020,10.7,11147,73.6,15.6
Missing,922,9/23/2020,0.1,0,0,0
0-17,81942,9/24/2020,10.3,2,0,22.5
18-49,476199,9/24/2020,60,1109,7.3,43.5
50-64,149978,9/24/2020,18.9,2931,19.2,18.4
65+,85007,9/24/2020,10.7,11214,73.5,15.6
Missing,914,9/24/2020,0.1,0,0,0
0-17,82484,9/25/2020,10.3,2,0,22.5
18-49,478701,9/25/2020,60,1115,7.3,43.5
50-64,150729,9/25/2020,18.9,2953,19.2,18.4
65+,85434,9/25/2020,10.7,11291,73.5,15.6
Missing,889,9/25/2020,0.1,0,0,0
0-17,83024,9/26/2020,10.3,2,0,22.5
18-49,481120,9/26/2020,60,1120,7.3,43.5
50-64,151507,9/26/2020,18.9,2963,19.2,18.4
65+,85776,9/26/2020,10.7,11347,73.5,15.6
Missing,881,9/26/2020,0.1,0,0,0
0-17,83407,9/27/2020,10.4,2,0,22.5
18-49,482861,9/27/2020,60,1125,7.3,43.5
50-64,152059,9/27/2020,18.9,2962,19.2,18.4
65+,86053,9/27/2020,10.7,11362,73.5,15.6
Missing,883,9/27/2020,0.1,0,0,0
0-17,83695,9/28/2020,10.4,2,0,22.5
18-49,484115,9/28/2020,60,1125,7.3,43.5
50-64,152456,9/28/2020,18.9,2963,19.2,18.4
65+,86274,9/28/2020,10.7,11372,73.5,15.6
Missing,885,9/28/2020,0.1,0,0,0
0-17,84064,9/29/2020,10.4,2,0,22.5
18-49,485990,9/29/2020,60,1136,7.3,43.5
50-64,153030,9/29/2020,18.9,2993,19.1,18.4
65+,86652,9/29/2020,10.7,11526,73.6,15.6
Missing,889,9/29/2020,0.1,0,0,0
0-17,84468,9/30/2020,10.4,2,0,22.5
18-49,487779,9/30/2020,59.9,1140,7.2,43.5
50-64,153584,9/30/2020,18.9,3019,19.2,18.4
65+,86965,9/30/2020,10.7,11596,73.6,15.6
Missing,891,9/30/2020,0.1,0,0,0
0-17,84871,10/1/2020,10.4,2,0,22.5
18-49,489846,10/1/2020,59.9,1157,7.3,43.5
50-64,154299,10/1/2020,18.9,3053,19.2,18.4
65+,87371,10/1/2020,10.7,11706,73.5,15.6
Missing,890,10/1/2020,0.1,0,0,0
0-17,85246,10/2/2020,10.4,2,0,22.5
18-49,491142,10/2/2020,59.9,1153,7.2,43.5
50-64,154619,10/2/2020,18.9,3064,19.2,18.4
65+,87546,10/2/2020,10.7,11713,73.5,15.6
Missing,883,10/2/2020,0.1,0,0,0
0-17,85748,10/3/2020,10.4,2,0,22.5
18-49,493676,10/3/2020,59.9,1160,7.3,43.5
50-64,155398,10/3/2020,18.9,3074,19.2,18.4
65+,88023,10/3/2020,10.7,11763,73.5,15.6
Missing,884,10/3/2020,0.1,0,0,0
0-17,86137,10/4/2020,10.4,2,0,22.5
18-49,495458,10/4/2020,59.9,1162,7.3,43.5
50-64,156007,10/4/2020,18.9,3078,19.2,18.4
65+,88296,10/4/2020,10.7,11778,73.5,15.6
Missing,886,10/4/2020,0.1,0,0,0
0-17,86370,10/5/2020,10.4,2,0,22.5
18-49,496431,10/5/2020,59.9,1166,7.3,43.5
50-64,156312,10/5/2020,18.9,3085,19.2,18.4
65+,88464,10/5/2020,10.7,11793,73.5,15.6
Missing,884,10/5/2020,0.1,0,0,0
0-17,86720,10/6/2020,10.4,2,0,22.5
18-49,498012,10/6/2020,59.9,1167,7.2,43.5
50-64,156845,10/6/2020,18.9,3099,19.2,18.4
65+,88764,10/6/2020,10.7,11863,73.5,15.6
Missing,884,10/6/2020,0.1,0,0,0
0-17,87201,10/7/2020,10.4,2,0,22.5
18-49,500052,10/7/2020,59.9,1174,7.2,43.5
50-64,157546,10/7/2020,18.9,3116,19.2,18.4
65+,89114,10/7/2020,10.7,11933,73.5,15.6
Missing,887,10/7/2020,0.1,0,0,0
0-17,87657,10/8/2020,10.5,2,0,22.5
18-49,502291,10/8/2020,59.9,1180,7.2,43.5
50-64,158233,10/8/2020,18.9,3124,19.2,18.4
65+,89535,10/8/2020,10.7,11992,73.6,15.6
Missing,890,10/8/2020,0.1,0,0,0
0-17,88203,10/9/2020,10.5,2,0,22.5
18-49,504734,10/9/2020,59.9,1183,7.2,43.5
50-64,159028,10/9/2020,18.9,3139,19.2,18.4
65+,89927,10/9/2020,10.7,12056,73.6,15.6
Missing,884,10/9/2020,0.1,0,0,0
0-17,88691,10/10/2020,10.5,2,0,22.5
18-49,507025,10/10/2020,59.9,1188,7.2,43.5
50-64,159737,10/10/2020,18.9,3153,19.2,18.4
65+,90249,10/10/2020,10.7,12117,73.6,15.6
Missing,877,10/10/2020,0.1,0,0,0
0-17,89138,10/11/2020,10.5,2,0,22.5
18-49,509044,10/11/2020,59.9,1189,7.2,43.5
50-64,160393,10/11/2020,18.9,3157,19.2,18.4
65+,90571,10/11/2020,10.7,12122,73.6,15.6
Missing,882,10/11/2020,0.1,0,0,0
0-17,89498,10/12/2020,10.5,2,0,22.5
18-49,510413,10/12/2020,59.9,1189,7.2,43.5
50-64,160823,10/12/2020,18.9,3159,19.2,18.4
65+,90787,10/12/2020,10.7,12130,73.6,15.6
Missing,885,10/12/2020,0.1,0,0,0
0-17,89843,10/13/2020,10.5,2,0,22.5
18-49,511954,10/13/2020,59.9,1189,7.2,43.5
50-64,161329,10/13/2020,18.9,3166,19.2,18.4
65+,91051,10/13/2020,10.6,12165,73.6,15.6
Missing,895,10/13/2020,0.1,0,0,0
0-17,90259,10/14/2020,10.5,2,0,22.5
18-49,513932,10/14/2020,59.9,1197,7.2,43.5
50-64,161957,10/14/2020,18.9,3180,19.1,18.4
65+,91359,10/14/2020,10.6,12242,73.7,15.6
Missing,894,10/14/2020,0.1,0,0,0
0-17,90645,10/15/2020,10.5,2,0,22.5
18-49,515699,10/15/2020,59.9,1201,7.2,43.5
50-64,162544,10/15/2020,18.9,3202,19.2,18.4
65+,91697,10/15/2020,10.6,12306,73.6,15.6
Missing,891,10/15/2020,0.1,1,0,0
0-17,91051,10/16/2020,10.5,2,0,22.5
18-49,517420,10/16/2020,59.9,1207,7.2,43.5
50-64,163077,10/16/2020,18.9,3216,19.2,18.4
65+,92027,10/16/2020,10.6,12364,73.6,15.6
Missing,880,10/16/2020,0.1,1,0,0
0-17,91471,10/17/2020,10.5,2,0,22.5
18-49,519066,10/17/2020,59.8,1212,7.2,43.5
50-64,163593,10/17/2020,18.9,3238,19.2,18.4
65+,92326,10/17/2020,10.6,12430,73.6,15.6
Missing,861,10/17/2020,0.1,1,0,0
0-17,91935,10/18/2020,10.6,2,0,22.5
18-49,521159,10/18/2020,59.8,1212,7.2,43.5
50-64,164194,10/18/2020,18.9,3243,19.2,18.4
65+,92643,10/18/2020,10.6,12436,73.6,15.6
Missing,860,10/18/2020,0.1,1,0,0
0-17,92375,10/19/2020,10.6,2,0,22.5
18-49,523072,10/19/2020,59.8,1216,7.2,43.5
50-64,164817,10/19/2020,18.9,3244,19.2,18.4
65+,92952,10/19/2020,10.6,12445,73.6,15.6
Missing,861,10/19/2020,0.1,1,0,0
0-17,92864,10/20/2020,10.6,2,0,22.5
18-49,525174,10/20/2020,59.8,1218,7.2,43.5
50-64,165568,10/20/2020,18.9,3255,19.2,18.4
65+,93333,10/20/2020,10.6,12511,73.7,15.6
Missing,845,10/20/2020,0.1,1,0,0
0-17,93249,10/21/2020,10.6,2,0,22.5
18-49,526820,10/21/2020,59.8,1229,7.2,43.5
50-64,166162,10/21/2020,18.9,3274,19.1,18.4
65+,93662,10/21/2020,10.6,12617,73.7,15.6
Missing,831,10/21/2020,0.1,1,0,0
0-17,94030,10/22/2020,10.6,2,0,22.5
18-49,530359,10/22/2020,59.8,1229,7.2,43.5
50-64,167321,10/22/2020,18.9,3283,19.1,18.4
65+,94321,10/22/2020,10.6,12670,73.7,15.6
Missing,834,10/22/2020,0.1,1,0,0
0-17,94896,10/23/2020,10.6,2,0,22.5
18-49,533822,10/23/2020,59.8,1229,7.1,43.5
50-64,168370,10/23/2020,18.9,3290,19.1,18.4
65+,94882,10/23/2020,10.6,12709,73.8,15.6
Missing,840,10/23/2020,0.1,1,0,0
0-17,95603,10/24/2020,10.6,2,0,22.5
18-49,536903,10/24/2020,59.8,1234,7.1,43.5
50-64,169336,10/24/2020,18.9,3305,19.1,18.4
65+,95336,10/24/2020,10.6,12744,73.7,15.6
Missing,851,10/24/2020,0.1,1,0,0
0-17,95990,10/25/2020,10.7,2,0,22.5
18-49,538674,10/25/2020,59.8,1236,7.1,43.5
50-64,169913,10/25/2020,18.9,3305,19.1,18.4
65+,95584,10/25/2020,10.6,12754,73.7,15.6
Missing,849,10/25/2020,0.1,1,0,0
0-17,96360,10/26/2020,10.7,2,0,22.5
18-49,540531,10/26/2020,59.8,1236,7.1,43.5
50-64,170563,10/26/2020,18.9,3307,19.1,18.4
65+,95901,10/26/2020,10.6,12767,73.7,15.6
Missing,843,10/26/2020,0.1,1,0,0
0-17,96978,10/27/2020,10.7,2,0,22.5
18-49,543262,10/27/2020,59.8,1252,7.2,43.5
50-64,171333,10/27/2020,18.9,3332,19.1,18.4
65+,96305,10/27/2020,10.6,12842,73.7,15.6
Missing,835,10/27/2020,0.1,1,0,0
0-17,97497,10/28/2020,10.7,2,0,22.5
18-49,545660,10/28/2020,59.8,1257,7.2,43.5
50-64,172094,10/28/2020,18.9,3342,19.1,18.4
65+,96800,10/28/2020,10.6,12900,73.7,15.6
Missing,853,10/28/2020,0.1,1,0,0
0-17,97994,10/29/2020,10.7,2,0,22.5
18-49,547963,10/29/2020,59.8,1258,7.2,43.5
50-64,172862,10/29/2020,18.9,3349,19.1,18.4
65+,97247,10/29/2020,10.6,12936,73.7,15.6
Missing,852,10/29/2020,0.1,2,0,0
0-17,98615,10/30/2020,10.7,2,0,22.5
18-49,550862,10/30/2020,59.7,1270,7.2,43.5
50-64,173917,10/30/2020,18.9,3359,19.1,18.4
65+,97764,10/30/2020,10.6,12972,73.7,15.6
Missing,847,10/30/2020,0.1,2,0,0
0-17,99123,10/31/2020,10.7,2,0,22.5
18-49,553578,10/31/2020,59.7,1273,7.2,43.5
50-64,174737,10/31/2020,18.9,3365,19.1,18.4
65+,98240,10/31/2020,10.6,13020,73.7,15.6
Missing,856,10/31/2020,0.1,2,0,0
0-17,99679,11/1/2020,10.7,2,0,22.5
18-49,555933,11/1/2020,59.7,1274,7.2,43.5
50-64,175508,11/1/2020,18.9,3368,19,18.4
65+,98643,11/1/2020,10.6,13037,73.7,15.6
Missing,865,11/1/2020,0.1,2,0,0
0-17,100239,11/2/2020,10.7,2,0,22.5
18-49,558194,11/2/2020,59.7,1275,7.2,43.5
50-64,176308,11/2/2020,18.9,3369,19,18.4
65+,99065,11/2/2020,10.6,13044,73.7,15.6
Missing,866,11/2/2020,0.1,2,0,0
0-17,100856,11/3/2020,10.7,2,0,22.5
18-49,561326,11/3/2020,59.7,1282,7.2,43.5
50-64,177367,11/3/2020,18.9,3382,19,18.4
65+,99592,11/3/2020,10.6,13104,73.7,15.6
Missing,869,11/3/2020,0.1,1,0,0
0-17,101430,11/4/2020,10.7,2,0,22.5
